"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",2
"22",2
"23",2
"24",2
"25",2
"26",2
"27",2
"28",2
"29",2
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",2
"41",2
"42",2
"43",2
"44",2
"45",2
"46",2
"47",3
"48",3
"49",3
"50",3
"51",3
"52",3
"53",3
"54",3
"55",3
"56",3
"57",3
"58",3
"59",3
"60",3
"61",3
"62",3
"63",3
"64",3
"65",3
"66",3
"67",3
"68",3
"69",3
"70",3
"71",4
"72",4
"73",4
"74",4
"75",4
"76",4
"77",4
"78",4
"79",4
"80",4
"81",4
"82",4
"83",4
"84",4
"85",4
"86",4
"87",4
"88",5
"89",5
"90",5
"91",5
"92",5
"93",5
"94",5
"95",5
"96",5
"97",5
"98",5
"99",5
"100",5
"101",6
"102",6
"103",6
"104",6
"105",6
"106",6
"107",6
"108",6
"109",6
"110",6
"111",6
"112",6
"113",7
"114",7
"115",7
"116",7
"117",7
"118",7
"119",7
"120",7
"121",7
"122",7
"123",7
"124",7
"125",7
"126",7
"127",7
"128",7
"129",8
"130",8
"131",8
"132",8
"133",8
"134",8
"135",8
"136",8
"137",8
"138",8
"139",8
"140",8
"141",8
"142",8
"143",8
"144",8
"145",8
"146",8
"147",8
"148",8
"149",8
"150",8
"151",8
"152",8
"153",8
"154",8
"155",8
"156",8
"157",8
"158",8
"159",8
"160",8
"161",8
"162",9
"163",9
"164",9
"165",9
"166",9
"167",9
"168",9
"169",9
"170",9
"171",9
"172",9
"173",9
"174",9
"175",9
"176",9
"177",9
"178",9
"179",9
"180",9
"181",9
"182",9
"183",9
"184",9
"185",9
"186",9
"187",9
"188",9
"189",9
"190",9
"191",9
"192",9
"193",9
"194",9
"195",9
"196",9
"197",10
"198",10
"199",10
"200",10
"201",10
"202",10
"203",10
"204",10
"205",10
"206",10
"207",10
"208",10
"209",10
"210",10
"211",10
"212",10
"213",10
"214",10
"215",10
"216",10
"217",10
"218",10
"219",10
"220",10
"221",11
"222",11
"223",11
"224",11
"225",11
"226",11
"227",11
"228",11
"229",11
"230",11
"231",11
"232",11
"233",11
"234",11
"235",11
"236",11
"237",11
"238",11
"239",11
"240",11
"241",11
"242",11
"243",11
"244",11
"245",11
"246",11
"247",11
"248",11
"249",11
"250",11
"251",11
"252",11
"253",11
"254",11
"255",11
"256",11
"257",11
"258",11
"259",11
"260",12
"261",12
"262",12
"263",12
"264",12
"265",12
"266",12
"267",12
"268",12
"269",12
"270",12
"271",12
"272",12
"273",12
"274",12
"275",12
"276",12
"277",12
"278",12
"279",12
"280",12
"281",12
"282",12
"283",12
"284",12
"285",12
"286",12
"287",12
"288",12
"289",12
"290",12
"291",12
"292",12
"293",12
"294",12
"295",12
"296",12
"297",12
"298",13
"299",13
"300",13
"301",13
"302",13
"303",13
"304",13
"305",13
"306",13
"307",13
"308",13
"309",13
"310",13
"311",13
"312",13
"313",13
"314",13
"315",6
"316",6
"317",6
"318",6
"319",6
"320",6
"321",6
"322",6
"323",6
"324",6
"325",6
"326",6
"327",6
"328",6
"329",6
"330",6
"331",6
"332",6
"333",6
"334",6
"335",6
"336",6
"337",6
"338",6
"339",6
"340",6
"341",6
"342",6
"343",6
"344",6
"345",6
"346",6
"347",6
"348",6
"349",6
"350",6
"351",6
"352",6
"353",14
"354",14
"355",14
"356",14
"357",14
"358",14
"359",14
"360",14
"361",14
"362",14
"363",14
"364",14
"365",14
"366",14
"367",14
"368",14
"369",14
"370",14
"371",14
"372",14
"373",14
"374",14
"375",14
"376",14
"377",14
"378",14
"379",14
"380",15
"381",15
"382",15
"383",15
"384",15
"385",15
"386",15
"387",15
"388",15
"389",15
"390",15
"391",15
"392",15
"393",15
"394",15
"395",15
"396",15
"397",15
"398",15
"399",15
"400",15
"401",15
"402",15
"403",15
"404",15
"405",15
"406",15
"407",15
"408",15
"409",15
"410",16
"411",16
"412",16
"413",16
"414",16
"415",16
"416",16
"417",16
"418",16
"419",16
"420",16
"421",17
"422",17
"423",17
"424",17
"425",17
"426",17
"427",17
"428",17
"429",17
"430",17
"431",17
"432",17
"433",17
"434",18
"435",18
"436",18
"437",18
"438",18
"439",18
"440",18
"441",18
"442",18
"443",18
"444",18
"445",18
"446",18
"447",18
"448",18
"449",18
"450",18
"451",18
"452",18
"453",18
"454",18
"455",18
"456",18
"457",18
"458",18
"459",19
"460",19
"461",19
"462",19
"463",19
"464",19
"465",19
"466",19
"467",19
"468",19
"469",19
"470",19
"471",19
"472",19
"473",19
"474",20
"475",20
"476",20
"477",20
"478",20
"479",20
"480",20
"481",20
