"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",2
"23",2
"24",2
"25",2
"26",2
"27",2
"28",2
"29",2
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",2
"38",2
"39",2
"40",2
"41",2
"42",3
"43",3
"44",3
"45",3
"46",3
"47",3
"48",3
"49",3
"50",3
"51",3
"52",3
"53",3
"54",3
"55",3
"56",3
"57",3
"58",3
"59",3
"60",3
"61",4
"62",4
"63",4
"64",4
"65",4
"66",4
"67",4
"68",4
"69",4
"70",4
"71",4
"72",4
"73",4
"74",4
"75",4
"76",4
"77",4
"78",4
"79",4
"80",4
"81",4
"82",4
"83",4
"84",4
"85",4
"86",4
"87",4
"88",4
"89",4
"90",4
"91",4
"92",4
"93",4
"94",4
"95",4
"96",4
"97",5
"98",5
"99",5
"100",5
"101",5
"102",5
"103",5
"104",5
"105",5
"106",5
"107",5
"108",5
"109",5
"110",5
"111",5
"112",5
"113",5
"114",5
"115",5
"116",5
"117",5
"118",5
"119",5
"120",5
"121",5
"122",5
"123",5
"124",5
"125",5
"126",6
"127",6
"128",6
"129",6
"130",6
"131",6
"132",6
"133",6
"134",6
"135",6
"136",6
"137",6
"138",6
"139",6
"140",6
"141",6
"142",6
"143",6
"144",6
"145",6
"146",6
"147",6
"148",6
"149",6
"150",6
"151",6
"152",6
"153",6
"154",6
"155",6
"156",6
"157",6
"158",6
"159",6
"160",6
"161",6
"162",6
"163",6
"164",7
"165",7
"166",7
"167",7
"168",7
"169",7
"170",7
"171",7
"172",7
"173",7
"174",7
"175",7
"176",7
"177",7
"178",7
"179",7
"180",7
"181",7
"182",7
"183",7
"184",7
"185",7
"186",7
"187",7
"188",8
"189",8
"190",8
"191",8
"192",8
"193",8
"194",8
"195",8
"196",8
"197",8
"198",8
"199",8
"200",9
"201",9
"202",9
"203",9
"204",9
"205",9
"206",9
"207",9
"208",9
"209",9
"210",9
"211",9
"212",9
"213",9
"214",9
"215",9
"216",9
"217",9
"218",9
"219",9
"220",9
"221",9
"222",9
"223",9
"224",9
"225",9
"226",9
"227",9
"228",9
"229",9
"230",9
"231",9
"232",9
"233",9
"234",9
"235",10
"236",10
"237",10
"238",10
"239",10
"240",10
"241",10
"242",10
"243",10
"244",10
"245",10
"246",10
"247",10
"248",10
"249",10
"250",11
"251",11
"252",11
"253",11
"254",11
"255",11
"256",11
"257",11
"258",11
"259",11
"260",11
"261",11
"262",11
"263",11
"264",11
"265",11
"266",11
"267",11
"268",11
"269",11
"270",11
"271",11
"272",11
"273",11
"274",11
"275",11
"276",11
"277",11
"278",11
"279",12
"280",12
"281",12
"282",12
"283",12
"284",12
"285",12
"286",12
"287",12
"288",12
"289",12
"290",12
"291",12
"292",12
"293",12
"294",12
"295",12
"296",12
"297",12
"298",12
"299",12
"300",12
"301",12
"302",12
"303",12
"304",12
"305",12
"306",12
"307",12
"308",12
"309",13
"310",13
"311",13
"312",13
"313",13
"314",13
"315",13
"316",13
"317",13
"318",13
"319",13
"320",13
"321",13
"322",13
"323",13
"324",13
"325",13
"326",13
"327",13
"328",13
"329",13
"330",13
"331",13
"332",13
"333",13
"334",13
"335",13
"336",13
"337",13
"338",13
"339",13
"340",13
"341",13
"342",13
"343",13
"344",14
"345",14
"346",14
"347",14
"348",14
"349",14
"350",14
"351",14
"352",14
"353",14
"354",14
"355",14
"356",14
"357",14
"358",14
"359",14
"360",15
"361",15
"362",15
"363",15
"364",15
"365",15
"366",15
"367",15
"368",15
"369",15
"370",15
"371",15
"372",15
"373",15
"374",15
"375",15
"376",15
"377",15
"378",15
"379",16
"380",16
"381",16
"382",16
"383",16
"384",16
"385",16
"386",16
"387",16
"388",16
"389",16
"390",16
"391",16
"392",16
"393",16
"394",17
"395",17
"396",17
"397",17
"398",17
"399",17
"400",17
"401",17
"402",17
"403",17
"404",17
"405",17
"406",17
"407",17
"408",17
"409",17
"410",17
"411",17
"412",17
"413",17
"414",17
"415",17
"416",17
"417",17
"418",17
"419",17
"420",17
"421",17
"422",17
"423",17
"424",17
"425",17
"426",17
"427",17
"428",17
"429",18
"430",18
"431",18
"432",18
"433",18
"434",18
"435",18
"436",18
"437",18
"438",18
"439",19
"440",19
"441",19
"442",19
"443",19
"444",19
"445",19
"446",19
"447",19
"448",19
"449",19
"450",19
"451",19
"452",19
"453",19
"454",20
"455",20
"456",20
"457",20
"458",20
"459",20
"460",20
"461",20
"462",20
"463",20
"464",20
"465",20
"466",21
"467",21
"468",21
"469",21
"470",21
"471",21
"472",21
"473",21
"474",21
"475",21
"476",21
"477",21
"478",21
"479",21
"480",21
"481",21
