"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",0
"7",1
"8",1
"9",1
"10",0
"11",1
"12",1
"13",0
"14",1
"15",1
"16",0
"17",0
"18",1
"19",1
"20",1
"21",1
"22",1
"23",0
"24",1
"25",1
"26",0
"27",2
"28",2
"29",0
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",2
"37",0
"38",2
"39",2
"40",2
"41",0
"42",2
"43",0
"44",0
"45",0
"46",2
"47",2
"48",2
"49",2
"50",0
"51",3
"52",3
"53",3
"54",3
"55",3
"56",3
"57",3
"58",3
"59",3
"60",3
"61",0
"62",3
"63",3
"64",3
"65",3
"66",3
"67",0
"68",3
"69",3
"70",0
"71",0
"72",0
"73",3
"74",0
"75",0
"76",0
"77",4
"78",4
"79",4
"80",4
"81",4
"82",4
"83",4
"84",4
"85",4
"86",4
"87",4
"88",4
"89",4
"90",4
"91",4
"92",4
"93",4
"94",4
"95",4
"96",4
"97",0
"98",4
"99",4
"100",4
"101",0
"102",5
"103",5
"104",5
"105",5
"106",5
"107",5
"108",5
"109",5
"110",5
"111",5
"112",5
"113",5
"114",5
"115",5
"116",5
"117",5
"118",5
"119",0
"120",5
"121",0
"122",5
"123",5
"124",5
"125",5
"126",6
"127",0
"128",6
"129",0
"130",6
"131",6
"132",6
"133",0
"134",0
"135",6
"136",6
"137",0
"138",6
"139",0
"140",6
"141",6
"142",6
"143",0
"144",0
"145",0
"146",6
"147",0
"148",0
"149",6
"150",6
"151",7
"152",7
"153",7
"154",7
"155",7
"156",0
"157",7
"158",7
"159",7
"160",7
"161",7
"162",7
"163",7
"164",7
"165",7
"166",7
"167",0
"168",0
"169",7
"170",7
"171",7
"172",7
"173",7
"174",7
"175",0
"176",0
"177",8
"178",8
"179",8
"180",8
"181",8
"182",8
"183",8
"184",0
"185",8
"186",8
"187",8
"188",8
"189",0
"190",8
"191",8
"192",8
"193",8
"194",8
"195",8
"196",0
"197",0
"198",0
"199",8
"200",8
"201",9
"202",9
"203",9
"204",9
"205",9
"206",9
"207",9
"208",9
"209",9
"210",9
"211",9
"212",0
"213",9
"214",9
"215",9
"216",9
"217",9
"218",0
"219",9
"220",9
"221",9
"222",9
"223",9
"224",9
"225",9
"226",10
"227",10
"228",0
"229",10
"230",0
"231",10
"232",10
"233",0
"234",10
"235",10
"236",10
"237",10
"238",0
"239",10
"240",10
"241",10
"242",10
"243",10
"244",10
"245",10
"246",10
"247",10
"248",10
"249",0
"250",10
"251",11
"252",11
"253",11
"254",11
"255",11
"256",11
"257",0
"258",11
"259",11
"260",11
"261",0
"262",11
"263",11
"264",11
"265",11
"266",11
"267",11
"268",11
"269",11
"270",11
"271",11
"272",0
"273",11
"274",11
"275",0
"276",12
"277",0
"278",12
"279",12
"280",12
"281",12
"282",12
"283",0
"284",12
"285",12
"286",12
"287",12
"288",12
"289",12
"290",0
"291",12
"292",12
"293",12
"294",12
"295",12
"296",12
"297",12
"298",12
"299",12
"300",12
"301",13
"302",13
"303",13
"304",13
"305",13
"306",13
"307",13
"308",13
"309",13
"310",13
"311",13
"312",0
"313",13
"314",13
"315",13
"316",13
"317",13
"318",13
"319",13
"320",13
"321",13
"322",13
"323",13
"324",13
"325",13
"326",14
"327",0
"328",14
"329",0
"330",14
"331",14
"332",14
"333",14
"334",14
"335",14
"336",14
"337",14
"338",0
"339",14
"340",0
"341",14
"342",14
"343",0
"344",0
"345",14
"346",14
"347",14
"348",0
"349",14
"350",14
"351",15
"352",0
"353",15
"354",15
"355",15
"356",0
"357",15
"358",15
"359",15
"360",0
"361",15
"362",15
"363",15
"364",0
"365",0
"366",15
"367",15
"368",15
"369",15
"370",0
"371",0
"372",15
"373",15
"374",0
"375",0
"376",16
"377",16
"378",0
"379",16
"380",16
"381",16
"382",16
"383",16
"384",16
"385",16
"386",16
"387",16
"388",16
"389",16
"390",16
"391",16
"392",0
"393",16
"394",16
"395",16
"396",0
"397",16
"398",16
"399",16
"400",0
"401",17
"402",17
"403",17
"404",17
"405",0
"406",17
"407",17
"408",17
"409",17
"410",17
"411",17
"412",17
"413",17
"414",17
"415",0
"416",17
"417",0
"418",0
"419",0
"420",17
"421",17
"422",17
"423",17
"424",17
"425",0
"426",18
"427",18
"428",18
"429",18
"430",18
"431",18
"432",18
"433",18
"434",18
"435",18
"436",18
"437",18
"438",18
"439",18
"440",18
"441",18
"442",18
"443",0
"444",18
"445",18
"446",18
"447",18
"448",0
"449",18
"450",18
"451",0
"452",19
"453",19
"454",19
"455",19
"456",19
"457",0
"458",19
"459",19
"460",19
"461",19
"462",19
"463",19
"464",19
"465",19
"466",19
"467",19
"468",19
"469",0
"470",19
"471",19
"472",19
"473",0
"474",19
"475",19
"476",20
"477",20
"478",20
"479",20
"480",20
"481",20
